TYPE: TOPSTPTW
NODES: 25
TOURS: 2
T_MAX: 7106
ID X Y PROFIT BETA windowStart windowEnd
1 1380 939 0 0 0 7106
2 2848 96 74 0.001400 2552 3661
3 3510 1671 61 0.000725 2532 3619
4 457 334 81 0.002975 1608 5940
5 3888 666 64 0.003650 582 3303
6 984 965 69 0.002525 823 5431
7 2721 1482 73 0.001175 2877 4778
8 1286 525 21 0.002975 2758 5227
9 2716 1432 18 0.002300 2756 3126
10 738 1325 93 0.001175 561 3653
11 1251 1832 33 0.001175 1191 1728
12 2728 1698 26 0.001850 2788 3300
13 3815 169 34 0.001400 1020 2947
14 3683 1533 96 0.004100 3468 6676
15 1247 1945 52 0.003200 1980 6370
16 123 862 95 0.001625 1599 2772
17 1234 1946 40 0.000500 3155 6966
18 252 1240 62 0.003200 1989 2424
19 611 673 34 0.001400 3421 6367
20 2576 1676 32 0.003200 818 3786
21 928 1700 28 0.002300 893 2130
22 53 857 20 0.002750 2891 4746
23 1807 1711 18 0.004550 2971 6663
24 274 1420 84 0.003650 360 2792
25 2574 946 20 0.000500 831 847
