TYPE: TOPSTPTW
NODES: 25
TOURS: 4
T_MAX: 3358
ID X Y PROFIT BETA windowStart windowEnd
1 3140 1401 0 0 0 3358
2 556 1056 92 0.003200 711 1737
3 3675 1522 77 0.004325 1078 2279
4 1182 1853 75 0.003875 1173 3048
5 3595 111 26 0.001850 1234 2438
6 962 1895 77 0.004325 1429 2879
7 2030 1186 76 0.004100 829 2865
8 3507 1851 58 0.004550 445 1984
9 2642 1269 51 0.002975 869 2476
10 3438 901 29 0.004775 119 939
11 3858 1472 30 0.002750 1169 2110
12 2937 1568 15 0.001625 424 1477
13 376 1018 54 0.003650 139 562
14 839 1355 44 0.003650 335 2317
15 706 1925 31 0.002975 485 821
16 749 920 59 0.002525 589 692
17 298 615 23 0.003425 52 108
18 694 552 86 0.001850 981 1254
19 387 190 47 0.004325 1057 2748
20 2801 695 86 0.004100 879 2647
21 3133 1143 56 0.004100 940 1756
22 1517 266 83 0.001175 1534 2901
23 1538 224 62 0.000950 1659 2063
24 844 520 24 0.001400 990 1100
25 2639 1239 18 0.004550 600 1217
