TYPE: TOPSTPTW
NODES: 25
TOURS: 3
T_MAX: 4680
ID X Y PROFIT BETA windowStart windowEnd
1 1357 1905 0 0 0 4680
2 2650 802 42 0.003200 90 2660
3 1774 107 91 0.000725 1853 3306
4 1307 964 31 0.002975 1161 3839
5 3806 746 62 0.003200 2266 3882
6 2687 1353 90 0.000500 1732 1867
7 43 1957 30 0.000500 2118 4365
8 3092 1668 90 0.000500 1846 4443
9 185 1542 27 0.002075 1745 4323
10 834 629 33 0.001175 1894 2098
11 40 462 62 0.000950 511 3292
12 1183 1391 64 0.003650 181 930
13 2048 1628 86 0.004100 1343 4300
14 1097 643 40 0.000500 2101 3587
15 1838 1732 70 0.002750 2308 4249
16 234 1118 12 0.003200 592 2532
17 3314 1881 75 0.003875 1111 1773
18 737 1285 52 0.000950 491 683
19 779 777 36 0.004100 206 1861
20 2312 1949 41 0.000725 378 996
21 2576 189 75 0.001625 341 3433
22 3078 1541 39 0.004775 962 3280
23 2781 478 29 0.004775 704 3693
24 705 1812 97 0.004325 787 2933
25 3409 1917 26 0.001850 597 3634
