TYPE: TOPSTPTW
NODES: 50
TOURS: 3
T_MAX: 4700
ID X Y PROFIT BETA windowStart windowEnd
1 3140 1401 0 0 0 4700
2 556 1056 92 0.003200 715 897
3 3675 1522 77 0.004325 1091 3983
4 1182 1853 75 0.003875 724 3518
5 3595 111 26 0.001850 345 3291
6 962 1895 77 0.004325 1772 2152
7 2030 1186 76 0.004100 777 1067
8 3507 1851 58 0.004550 441 459
9 2642 1269 51 0.002975 2059 3901
10 3438 901 29 0.004775 292 1854
11 3858 1472 30 0.002750 204 1444
12 2937 1568 15 0.001625 1123 3400
13 376 1018 54 0.003650 1952 4661
14 839 1355 44 0.003650 599 1585
15 706 1925 31 0.002975 226 3229
16 749 920 59 0.002525 1894 2337
17 298 615 23 0.003425 2321 4316
18 694 552 86 0.001850 1551 1668
19 387 190 47 0.004325 1850 2383
20 2801 695 86 0.004100 346 2219
21 3133 1143 56 0.004100 1822 4628
22 1517 266 83 0.001175 1569 2320
23 1538 224 62 0.000950 812 866
24 844 520 24 0.001400 642 1136
25 2639 1239 18 0.004550 1558 3770
26 3123 217 20 0.000500 1437 4380
27 2489 1520 59 0.002525 1932 4458
28 3834 1827 91 0.000725 479 3549
29 3417 1808 15 0.001625 896 2359
30 2938 543 71 0.000725 772 1003
31 71 1323 54 0.003650 1447 2682
32 3245 1828 43 0.003425 1454 2825
33 731 1741 52 0.003200 1155 4175
34 2312 1270 82 0.000950 348 574
35 2426 1851 57 0.004325 76 420
36 380 478 58 0.004550 719 2204
37 2310 635 75 0.001625 642 1949
38 2830 775 15 0.001625 1958 2596
39 3829 513 32 0.000950 1963 1969
40 3684 445 89 0.002525 1686 3502
41 171 514 65 0.001625 1198 4138
42 627 1261 98 0.002300 2233 3569
43 1490 1123 13 0.003425 839 3865
44 61 81 62 0.000950 896 2798
45 422 542 74 0.001400 1578 1693
46 2698 1221 59 0.004775 1960 4505
47 2372 127 79 0.004775 535 925
48 177 1390 47 0.002075 1692 3578
49 3084 748 62 0.003200 1547 3905
50 1213 910 63 0.001175 1724 3844
