TYPE: TOPSTPTW
NODES: 25
TOURS: 3
T_MAX: 4478
ID X Y PROFIT BETA windowStart windowEnd
1 3140 1401 0 0 0 4478
2 556 1056 92 0.003200 113 1393
3 3675 1522 77 0.004325 1615 2584
4 1182 1853 75 0.003875 390 2408
5 3595 111 26 0.001850 191 2176
6 962 1895 77 0.004325 196 1085
7 2030 1186 76 0.004100 2184 2849
8 3507 1851 58 0.004550 548 2705
9 2642 1269 51 0.002975 2001 3206
10 3438 901 29 0.004775 2042 3716
11 3858 1472 30 0.002750 1359 3735
12 2937 1568 15 0.001625 2045 4459
13 376 1018 54 0.003650 76 1878
14 839 1355 44 0.003650 744 1608
15 706 1925 31 0.002975 293 2977
16 749 920 59 0.002525 238 2853
17 298 615 23 0.003425 590 2917
18 694 552 86 0.001850 305 677
19 387 190 47 0.004325 892 1017
20 2801 695 86 0.004100 413 3176
21 3133 1143 56 0.004100 1232 3424
22 1517 266 83 0.001175 1767 3986
23 1538 224 62 0.000950 71 2355
24 844 520 24 0.001400 1277 4158
25 2639 1239 18 0.004550 2167 3421
