TYPE: TOPSTPTW
NODES: 25
TOURS: 2
T_MAX: 7020
ID X Y PROFIT BETA windowStart windowEnd
1 1357 1905 0 0 0 7020
2 2650 802 42 0.003200 1339 4158
3 1774 107 91 0.000725 1505 2904
4 1307 964 31 0.002975 1289 4988
5 3806 746 62 0.003200 54 4230
6 2687 1353 90 0.000500 2355 4053
7 43 1957 30 0.000500 2308 3590
8 3092 1668 90 0.000500 3169 6657
9 185 1542 27 0.002075 615 955
10 834 629 33 0.001175 3414 6203
11 40 462 62 0.000950 3255 5193
12 1183 1391 64 0.003650 186 2588
13 2048 1628 86 0.004100 2783 4501
14 1097 643 40 0.000500 1422 5398
15 1838 1732 70 0.002750 1244 3600
16 234 1118 12 0.003200 3112 6264
17 3314 1881 75 0.003875 1474 3035
18 737 1285 52 0.000950 3157 4708
19 779 777 36 0.004100 1120 5056
20 2312 1949 41 0.000725 2363 5634
21 2576 189 75 0.001625 697 4655
22 3078 1541 39 0.004775 3497 4141
23 2781 478 29 0.004775 2869 6882
24 705 1812 97 0.004325 2691 5498
25 3409 1917 26 0.001850 2724 4717
