TYPE: TOPSTPTW
NODES: 50
TOURS: 3
T_MAX: 4790
ID X Y PROFIT BETA windowStart windowEnd
1 1357 1905 0 0 0 4790
2 2650 802 42 0.003200 2065 4314
3 1774 107 91 0.000725 1306 2940
4 1307 964 31 0.002975 2299 4256
5 3806 746 62 0.003200 1785 2908
6 2687 1353 90 0.000500 1517 4003
7 43 1957 30 0.000500 597 2146
8 3092 1668 90 0.000500 1251 3418
9 185 1542 27 0.002075 1329 3071
10 834 629 33 0.001175 1382 3550
11 40 462 62 0.000950 1444 1861
12 1183 1391 64 0.003650 1338 4184
13 2048 1628 86 0.004100 447 3003
14 1097 643 40 0.000500 1644 1941
15 1838 1732 70 0.002750 1796 2272
16 234 1118 12 0.003200 1954 3645
17 3314 1881 75 0.003875 656 3359
18 737 1285 52 0.000950 906 1126
19 779 777 36 0.004100 335 3135
20 2312 1949 41 0.000725 156 269
21 2576 189 75 0.001625 482 1570
22 3078 1541 39 0.004775 494 1307
23 2781 478 29 0.004775 697 927
24 705 1812 97 0.004325 832 1090
25 3409 1917 26 0.001850 1108 3928
26 323 1714 67 0.004325 1472 4619
27 1660 1556 76 0.004100 2322 4236
28 3729 1188 67 0.004325 864 4028
29 693 1383 16 0.004100 1366 2574
30 2361 640 41 0.000725 1477 2533
31 2433 1538 21 0.002975 22 907
32 554 1825 49 0.004775 384 3055
33 913 317 70 0.002750 2015 4040
34 3586 1909 15 0.003875 2293 3563
35 2636 727 43 0.001175 1171 4294
36 1000 457 27 0.004325 1629 4732
37 482 1337 29 0.004775 2072 4554
38 3704 1082 26 0.001850 988 1451
39 3635 1174 49 0.002525 1193 3755
40 1362 1526 18 0.002300 2251 2451
41 2049 417 46 0.001850 2233 2456
42 2552 1909 61 0.000725 1053 2686
43 3939 640 89 0.004775 69 216
44 219 898 47 0.004325 2296 4147
45 812 351 93 0.001175 2238 2531
46 901 1552 33 0.003425 25 114
47 2513 1572 45 0.001625 295 3402
48 242 584 26 0.001850 2277 4348
49 826 1226 82 0.003200 2232 3603
50 3278 799 37 0.004325 1514 4316
