TYPE: TOPSTPTW
NODES: 25
TOURS: 4
T_MAX: 3553
ID X Y PROFIT BETA windowStart windowEnd
1 1380 939 0 0 0 3553
2 2848 96 74 0.001400 1216 2320
3 3510 1671 61 0.000725 596 1069
4 457 334 81 0.002975 1517 2639
5 3888 666 64 0.003650 1005 1477
6 984 965 69 0.002525 1687 2171
7 2721 1482 73 0.001175 149 471
8 1286 525 21 0.002975 298 1259
9 2716 1432 18 0.002300 113 1506
10 738 1325 93 0.001175 708 2212
11 1251 1832 33 0.001175 427 2271
12 2728 1698 26 0.001850 1090 3147
13 3815 169 34 0.001400 383 1986
14 3683 1533 96 0.004100 1097 2217
15 1247 1945 52 0.003200 1312 2698
16 123 862 95 0.001625 1203 1252
17 1234 1946 40 0.000500 949 3169
18 252 1240 62 0.003200 821 1728
19 611 673 34 0.001400 419 1692
20 2576 1676 32 0.003200 185 493
21 928 1700 28 0.002300 663 2707
22 53 857 20 0.002750 428 1027
23 1807 1711 18 0.004550 480 1180
24 274 1420 84 0.003650 1749 3209
25 2574 946 20 0.000500 1431 1768
