TYPE: TOPSTPTW
NODES: 25
TOURS: 4
T_MAX: 3510
ID X Y PROFIT BETA windowStart windowEnd
1 1357 1905 0 0 0 3510
2 2650 802 42 0.003200 37 2065
3 1774 107 91 0.000725 323 2028
4 1307 964 31 0.002975 974 3244
5 3806 746 62 0.003200 792 988
6 2687 1353 90 0.000500 67 1217
7 43 1957 30 0.000500 551 1669
8 3092 1668 90 0.000500 1447 1931
9 185 1542 27 0.002075 404 877
10 834 629 33 0.001175 60 1480
11 40 462 62 0.000950 490 1558
12 1183 1391 64 0.003650 892 3061
13 2048 1628 86 0.004100 1334 3065
14 1097 643 40 0.000500 650 1210
15 1838 1732 70 0.002750 1105 2761
16 234 1118 12 0.003200 657 2746
17 3314 1881 75 0.003875 940 1620
18 737 1285 52 0.000950 1238 2113
19 779 777 36 0.004100 575 1180
20 2312 1949 41 0.000725 1139 1887
21 2576 189 75 0.001625 1743 1890
22 3078 1541 39 0.004775 710 2209
23 2781 478 29 0.004775 657 1061
24 705 1812 97 0.004325 1161 1829
25 3409 1917 26 0.001850 1056 1673
