TYPE: TOPSTPTW
NODES: 125
TOURS: 2
T_MAX: 7391
ID X Y PROFIT BETA windowStart windowEnd
1 3140 1401 0 0 0 7391
2 556 1056 92 0.003200 2690 6846
3 3675 1522 77 0.004325 1038 5853
4 1182 1853 75 0.003875 1590 3151
5 3595 111 26 0.001850 2242 6725
6 962 1895 77 0.004325 862 2902
7 2030 1186 76 0.004100 691 5616
8 3507 1851 58 0.004550 2294 6399
9 2642 1269 51 0.002975 29 1229
10 3438 901 29 0.004775 2673 3280
11 3858 1472 30 0.002750 3641 5761
12 2937 1568 15 0.001625 2156 5696
13 376 1018 54 0.003650 998 3837
14 839 1355 44 0.003650 3499 6543
15 706 1925 31 0.002975 731 4989
16 749 920 59 0.002525 2078 6897
17 298 615 23 0.003425 2436 6463
18 694 552 86 0.001850 826 5388
19 387 190 47 0.004325 2066 4180
20 2801 695 86 0.004100 3346 6742
21 3133 1143 56 0.004100 2768 5206
22 1517 266 83 0.001175 178 4211
23 1538 224 62 0.000950 2650 4526
24 844 520 24 0.001400 2404 5572
25 2639 1239 18 0.004550 1847 5713
26 3123 217 20 0.000500 605 1624
27 2489 1520 59 0.002525 1775 5492
28 3834 1827 91 0.000725 1890 4480
29 3417 1808 15 0.001625 2192 2252
30 2938 543 71 0.000725 691 1921
31 71 1323 54 0.003650 2428 6653
32 3245 1828 43 0.003425 1883 3285
33 731 1741 52 0.003200 2465 2770
34 2312 1270 82 0.000950 2257 4870
35 2426 1851 57 0.004325 1275 2653
36 380 478 58 0.004550 642 5055
37 2310 635 75 0.001625 1215 2740
38 2830 775 15 0.001625 303 2424
39 3829 513 32 0.000950 934 4309
40 3684 445 89 0.002525 3 404
41 171 514 65 0.001625 635 4607
42 627 1261 98 0.002300 3323 5379
43 1490 1123 13 0.003425 3206 5163
44 61 81 62 0.000950 1533 3406
45 422 542 74 0.001400 2463 4915
46 2698 1221 59 0.004775 3033 6936
47 2372 127 79 0.004775 2733 4001
48 177 1390 47 0.002075 1860 4639
49 3084 748 62 0.003200 1207 4716
50 1213 910 63 0.001175 3142 6131
51 3 1817 30 0.000500 2748 5506
52 1782 995 87 0.004325 3212 6257
53 3896 742 58 0.004550 2369 4850
54 1829 812 41 0.000725 815 3887
55 1286 550 46 0.004100 858 1941
56 3017 108 75 0.001625 964 1997
57 2132 1432 64 0.001400 1145 1646
58 2000 1110 60 0.002750 1376 1396
59 3317 1966 73 0.001175 3694 3838
60 1729 1498 87 0.002075 3429 3429
61 2408 1747 25 0.003875 1955 3148
62 3292 152 34 0.001400 3407 3475
63 193 1210 63 0.001175 2303 5030
64 782 1462 94 0.001400 2242 4367
65 2503 352 75 0.003875 1214 1581
66 1697 1924 31 0.000725 1178 3586
67 3821 147 18 0.002300 1739 2350
68 3370 791 31 0.000725 2966 6600
69 3162 367 29 0.002525 1296 5533
70 3938 516 54 0.003650 3584 4083
71 2741 1583 14 0.001400 778 4185
72 2330 741 21 0.002975 997 4581
73 3918 1088 66 0.001850 3299 3642
74 1794 1589 63 0.001175 3138 4979
75 2929 485 94 0.003650 1835 6208
76 3453 1998 61 0.002975 1389 2442
77 896 705 81 0.000725 335 5035
78 399 850 89 0.002525 802 4720
79 2614 195 29 0.002525 3343 6863
80 2800 653 43 0.003425 2416 2778
81 2630 20 50 0.002750 1375 5943
82 563 1513 16 0.004100 507 1679
83 1090 1652 52 0.000950 2880 5016
84 2009 1163 32 0.003200 970 2775
85 3876 1165 11 0.000725 2447 5661
86 3084 774 88 0.004550 491 3103
87 1526 1612 88 0.004550 2415 2494
88 1612 328 60 0.000500 336 486
89 1423 1322 55 0.001625 1924 3088
90 3058 1276 24 0.003650 776 3205
91 3782 1865 77 0.002075 2439 5305
92 347 252 69 0.004775 2913 6541
93 3904 1444 48 0.002300 1453 2331
94 2191 1579 90 0.002750 2937 4393
95 3220 1454 94 0.003650 1463 3426
96 468 319 77 0.002075 3310 6681
97 3611 1968 99 0.004775 1147 3220
98 3114 1629 73 0.001175 1644 2296
99 3515 1892 17 0.002075 1814 4130
100 3060 155 75 0.003875 391 3854
101 2995 264 29 0.004775 114 4393
102 202 233 85 0.003875 2508 3821
103 981 848 39 0.002525 3559 7224
104 1346 408 54 0.003650 2502 4054
105 781 670 21 0.002975 909 4886
106 1009 1001 40 0.002750 3510 6117
107 2927 1777 34 0.001400 1317 4712
108 2982 949 71 0.002975 773 1408
109 555 1121 66 0.004100 878 4482
110 464 1302 66 0.001850 906 1543
111 3452 637 49 0.002525 2182 4864
112 571 1982 43 0.003425 1515 2166
113 2656 128 94 0.001400 57 1695
114 1623 1723 26 0.001850 1653 3500
115 2067 694 71 0.000725 2102 3366
116 1725 927 52 0.003200 535 654
117 3600 459 19 0.004775 3529 6735
118 1109 1196 65 0.001625 3655 7317
119 366 339 85 0.001625 456 1361
120 778 1282 90 0.000500 118 4598
121 386 1616 32 0.000950 828 3802
122 3918 1217 15 0.003875 3304 6391
123 3332 1049 71 0.000725 451 3817
124 2597 349 76 0.001850 1816 3951
125 811 1295 46 0.001850 926 5217
