TYPE: TOPSTPTW
NODES: 175
TOURS: 4
T_MAX: 3690
ID X Y PROFIT BETA windowStart windowEnd
1 1357 1905 0 0 0 3690
2 2650 802 42 0.003200 1501 2441
3 1774 107 91 0.000725 1707 3309
4 1307 964 31 0.002975 150 2542
5 3806 746 62 0.003200 237 1724
6 2687 1353 90 0.000500 1767 2246
7 43 1957 30 0.000500 696 1182
8 3092 1668 90 0.000500 339 1687
9 185 1542 27 0.002075 442 2139
10 834 629 33 0.001175 906 2784
11 40 462 62 0.000950 983 2256
12 1183 1391 64 0.003650 1137 3009
13 2048 1628 86 0.004100 944 2454
14 1097 643 40 0.000500 107 1228
15 1838 1732 70 0.002750 1713 2430
16 234 1118 12 0.003200 1822 1928
17 3314 1881 75 0.003875 967 1538
18 737 1285 52 0.000950 179 1488
19 779 777 36 0.004100 290 2693
20 2312 1949 41 0.000725 1692 2914
21 2576 189 75 0.001625 1559 2189
22 3078 1541 39 0.004775 1510 2932
23 2781 478 29 0.004775 254 2247
24 705 1812 97 0.004325 1797 2482
25 3409 1917 26 0.001850 436 1345
26 323 1714 67 0.004325 1485 1814
27 1660 1556 76 0.004100 324 796
28 3729 1188 67 0.004325 531 844
29 693 1383 16 0.004100 325 2352
30 2361 640 41 0.000725 1758 1798
31 2433 1538 21 0.002975 424 2265
32 554 1825 49 0.004775 1051 2730
33 913 317 70 0.002750 980 2288
34 3586 1909 15 0.003875 1838 3682
35 2636 727 43 0.001175 1558 3301
36 1000 457 27 0.004325 620 3051
37 482 1337 29 0.004775 193 1647
38 3704 1082 26 0.001850 1523 1702
39 3635 1174 49 0.002525 0 1484
40 1362 1526 18 0.002300 1184 2008
41 2049 417 46 0.001850 616 2701
42 2552 1909 61 0.000725 310 2639
43 3939 640 89 0.004775 1791 2537
44 219 898 47 0.004325 1679 2931
45 812 351 93 0.001175 601 2142
46 901 1552 33 0.003425 1456 3568
47 2513 1572 45 0.001625 1010 2469
48 242 584 26 0.001850 463 2485
49 826 1226 82 0.003200 1651 2978
50 3278 799 37 0.004325 1146 1199
51 86 1065 81 0.002975 1241 3309
52 14 454 28 0.002300 1637 3541
53 1327 1893 80 0.000500 74 1886
54 2773 1286 19 0.004775 885 1536
55 2469 1838 87 0.002075 800 2738
56 3835 963 38 0.004550 1351 1359
57 1031 428 29 0.004775 1568 2224
58 3853 1712 85 0.001625 1806 2534
59 1868 197 95 0.001625 1063 3261
60 1544 863 77 0.002075 1081 1407
61 457 1607 94 0.001400 390 2275
62 3174 1064 18 0.004550 1138 3151
63 192 1004 36 0.004100 1144 1519
64 2318 1925 23 0.001175 841 1106
65 2232 1374 16 0.001850 749 2173
66 396 828 64 0.001400 388 1271
67 2365 1649 64 0.003650 1291 1875
68 2499 658 17 0.004325 1262 1702
69 1410 307 17 0.004325 1823 2610
70 2990 214 64 0.001400 1423 3228
71 3646 1018 84 0.001400 1668 2716
72 3394 1028 22 0.000950 1567 2306
73 1779 90 79 0.002525 868 2480
74 1058 372 90 0.002750 1046 2928
75 2933 1459 82 0.003200 1246 1621
76 3099 173 42 0.003200 1564 2024
77 2178 978 16 0.004100 438 2399
78 138 1610 48 0.002300 999 2560
79 2082 1753 65 0.003875 404 716
80 2302 1127 19 0.002525 1485 2789
81 805 272 97 0.004325 33 993
82 22 1617 29 0.004775 1790 3220
83 3213 1085 78 0.004550 270 1102
84 99 536 15 0.003875 788 2928
85 1533 1780 83 0.003425 1576 2746
86 3564 676 20 0.000500 918 1651
87 29 6 45 0.003875 1601 2812
88 3808 1375 63 0.001175 1760 3476
89 2221 291 92 0.003200 1368 3192
90 3499 1885 84 0.001400 1351 1594
91 3124 408 32 0.003200 968 2304
92 781 671 22 0.003200 529 2795
93 1027 1041 98 0.002300 886 3220
94 3249 378 37 0.002075 1618 3396
95 3297 491 18 0.002300 32 1847
96 213 220 83 0.003425 671 1248
97 721 186 17 0.002075 708 2137
98 3736 1542 68 0.004550 1252 1840
99 868 731 79 0.004775 725 1767
100 960 303 13 0.001175 1458 2959
101 1380 939 79 0.004775 873 2187
102 2848 96 74 0.001400 935 2972
103 3510 1671 61 0.000725 616 1730
104 457 334 81 0.002975 477 2118
105 3888 666 64 0.003650 250 2654
106 984 965 69 0.002525 1447 1996
107 2721 1482 73 0.001175 1595 2383
108 1286 525 21 0.002975 275 1829
109 2716 1432 18 0.002300 471 2392
110 738 1325 93 0.001175 1740 1837
111 1251 1832 33 0.001175 153 1596
112 2728 1698 26 0.001850 1414 2532
113 3815 169 34 0.001400 1306 1990
114 3683 1533 96 0.004100 136 1664
115 1247 1945 52 0.003200 1534 3198
116 123 862 95 0.001625 236 2425
117 1234 1946 40 0.000500 1151 3407
118 252 1240 62 0.003200 748 1088
119 611 673 34 0.001400 1416 2764
120 2576 1676 32 0.003200 102 128
121 928 1700 28 0.002300 1705 2085
122 53 857 20 0.002750 1388 2892
123 1807 1711 18 0.004550 370 1273
124 274 1420 84 0.003650 1826 3156
125 2574 946 20 0.000500 106 1038
126 178 24 32 0.000950 1739 2163
127 2678 1825 13 0.001175 1023 2139
128 1795 962 67 0.004325 1014 2858
129 3384 1498 32 0.000950 1828 3234
130 3520 1079 19 0.004775 865 1544
131 1256 61 67 0.004325 499 1862
132 1424 1728 12 0.003200 1236 2418
133 3913 192 65 0.001625 695 1909
134 3085 1528 33 0.003425 1576 2963
135 2573 1969 52 0.000950 599 1393
136 463 1670 73 0.003425 660 3014
137 3875 598 73 0.003425 1548 1837
138 298 1513 21 0.002975 1812 2983
139 3479 821 80 0.000500 636 1065
140 2542 236 88 0.004550 1777 3536
141 3955 1743 38 0.004550 832 2537
