TYPE: TOPSTPTW
NODES: 150
TOURS: 4
T_MAX: 3690
ID X Y PROFIT BETA windowStart windowEnd
1 1357 1905 0 0 0 3690
2 2650 802 42 0.003200 1190 3025
3 1774 107 91 0.000725 1221 2860
4 1307 964 31 0.002975 925 2653
5 3806 746 62 0.003200 46 900
6 2687 1353 90 0.000500 1638 3258
7 43 1957 30 0.000500 187 2627
8 3092 1668 90 0.000500 746 2859
9 185 1542 27 0.002075 303 1605
10 834 629 33 0.001175 469 1258
11 40 462 62 0.000950 1148 1840
12 1183 1391 64 0.003650 1788 3423
13 2048 1628 86 0.004100 1142 2796
14 1097 643 40 0.000500 58 81
15 1838 1732 70 0.002750 1664 2283
16 234 1118 12 0.003200 879 1269
17 3314 1881 75 0.003875 887 1696
18 737 1285 52 0.000950 221 951
19 779 777 36 0.004100 912 1149
20 2312 1949 41 0.000725 613 1612
21 2576 189 75 0.001625 14 451
22 3078 1541 39 0.004775 423 791
23 2781 478 29 0.004775 1701 1856
24 705 1812 97 0.004325 327 1836
25 3409 1917 26 0.001850 147 1857
26 323 1714 67 0.004325 1752 3684
27 1660 1556 76 0.004100 457 2275
28 3729 1188 67 0.004325 1799 2176
29 693 1383 16 0.004100 370 2431
30 2361 640 41 0.000725 502 522
31 2433 1538 21 0.002975 879 2122
32 554 1825 49 0.004775 338 1428
33 913 317 70 0.002750 1007 2940
34 3586 1909 15 0.003875 172 2625
35 2636 727 43 0.001175 1821 1922
36 1000 457 27 0.004325 883 2768
37 482 1337 29 0.004775 1703 3547
38 3704 1082 26 0.001850 660 2472
39 3635 1174 49 0.002525 879 1426
40 1362 1526 18 0.002300 255 1869
41 2049 417 46 0.001850 1673 1842
42 2552 1909 61 0.000725 1089 2152
43 3939 640 89 0.004775 232 978
44 219 898 47 0.004325 585 1668
45 812 351 93 0.001175 1659 2696
46 901 1552 33 0.003425 311 643
47 2513 1572 45 0.001625 746 1105
48 242 584 26 0.001850 32 1605
49 826 1226 82 0.003200 314 532
50 3278 799 37 0.004325 816 827
51 86 1065 81 0.002975 1355 2908
52 14 454 28 0.002300 1512 1561
53 1327 1893 80 0.000500 591 2813
54 2773 1286 19 0.004775 588 1624
55 2469 1838 87 0.002075 794 1097
56 3835 963 38 0.004550 142 261
57 1031 428 29 0.004775 37 305
58 3853 1712 85 0.001625 1057 2487
59 1868 197 95 0.001625 1821 2415
60 1544 863 77 0.002075 1771 3534
61 457 1607 94 0.001400 1026 3350
62 3174 1064 18 0.004550 1292 3406
63 192 1004 36 0.004100 906 1769
64 2318 1925 23 0.001175 827 2561
65 2232 1374 16 0.001850 751 1854
66 396 828 64 0.001400 1598 3602
67 2365 1649 64 0.003650 650 2788
68 2499 658 17 0.004325 1345 2387
69 1410 307 17 0.004325 1459 3109
70 2990 214 64 0.001400 600 2845
71 3646 1018 84 0.001400 1294 1467
72 3394 1028 22 0.000950 1698 2344
73 1779 90 79 0.002525 1804 2786
74 1058 372 90 0.002750 533 2880
75 2933 1459 82 0.003200 911 1302
76 3099 173 42 0.003200 988 2411
77 2178 978 16 0.004100 924 1393
78 138 1610 48 0.002300 973 2919
79 2082 1753 65 0.003875 1323 3558
80 2302 1127 19 0.002525 777 1864
81 805 272 97 0.004325 540 607
82 22 1617 29 0.004775 1750 2902
83 3213 1085 78 0.004550 1101 1304
84 99 536 15 0.003875 1586 2705
85 1533 1780 83 0.003425 1287 2160
86 3564 676 20 0.000500 439 1161
87 29 6 45 0.003875 309 2245
88 3808 1375 63 0.001175 85 830
89 2221 291 92 0.003200 1592 3392
90 3499 1885 84 0.001400 1186 2314
91 3124 408 32 0.003200 1817 2766
92 781 671 22 0.003200 664 1856
93 1027 1041 98 0.002300 127 2275
94 3249 378 37 0.002075 528 2960
95 3297 491 18 0.002300 861 3171
96 213 220 83 0.003425 1127 2333
97 721 186 17 0.002075 819 1627
98 3736 1542 68 0.004550 322 698
99 868 731 79 0.004775 582 665
100 960 303 13 0.001175 1216 2244
101 1380 939 79 0.004775 719 3111
102 2848 96 74 0.001400 1284 2199
103 3510 1671 61 0.000725 611 3011
104 457 334 81 0.002975 875 2080
105 3888 666 64 0.003650 1696 3465
106 984 965 69 0.002525 664 915
107 2721 1482 73 0.001175 164 2349
108 1286 525 21 0.002975 671 950
109 2716 1432 18 0.002300 1839 3379
110 738 1325 93 0.001175 1053 3086
111 1251 1832 33 0.001175 1204 2597
112 2728 1698 26 0.001850 1072 1992
113 3815 169 34 0.001400 400 649
114 3683 1533 96 0.004100 1820 3419
115 1247 1945 52 0.003200 1200 3317
116 123 862 95 0.001625 1359 2704
117 1234 1946 40 0.000500 1087 1169
118 252 1240 62 0.003200 1619 1892
119 611 673 34 0.001400 93 603
120 2576 1676 32 0.003200 88 202
121 928 1700 28 0.002300 1727 2280
122 53 857 20 0.002750 1354 3461
123 1807 1711 18 0.004550 1207 1333
124 274 1420 84 0.003650 891 1543
125 2574 946 20 0.000500 1509 3266
126 178 24 32 0.000950 1753 2091
127 2678 1825 13 0.001175 970 1933
128 1795 962 67 0.004325 626 1506
129 3384 1498 32 0.000950 211 1937
130 3520 1079 19 0.004775 670 1647
131 1256 61 67 0.004325 707 1729
132 1424 1728 12 0.003200 343 2209
133 3913 192 65 0.001625 690 1842
134 3085 1528 33 0.003425 1260 2888
135 2573 1969 52 0.000950 613 2923
136 463 1670 73 0.003425 281 300
137 3875 598 73 0.003425 1719 2534
138 298 1513 21 0.002975 1096 2565
139 3479 821 80 0.000500 1216 3122
140 2542 236 88 0.004550 515 2097
141 3955 1743 38 0.004550 251 1495
142 1323 280 83 0.001175 434 552
143 3447 1830 67 0.004325 1697 3537
144 2936 337 43 0.003425 1091 3239
145 1621 1830 41 0.002975 610 2972
146 3373 1646 79 0.004775 1417 2415
147 1393 1368 71 0.000725 184 2445
148 3874 1318 72 0.003200 386 2445
149 938 955 13 0.003425 804 2040
150 3022 474 86 0.004100 823 2531
