TYPE: TOPSTPTW
NODES: 150
TOURS: 3
T_MAX: 4927
ID X Y PROFIT BETA windowStart windowEnd
1 3140 1401 0 0 0 4927
2 556 1056 92 0.003200 718 2502
3 3675 1522 77 0.004325 1482 2272
4 1182 1853 75 0.003875 597 1189
5 3595 111 26 0.001850 2451 2670
6 962 1895 77 0.004325 1427 1979
7 2030 1186 76 0.004100 1718 3693
8 3507 1851 58 0.004550 1182 2138
9 2642 1269 51 0.002975 436 2872
10 3438 901 29 0.004775 651 1102
11 3858 1472 30 0.002750 1020 1899
12 2937 1568 15 0.001625 695 2348
13 376 1018 54 0.003650 2171 3818
14 839 1355 44 0.003650 744 1328
15 706 1925 31 0.002975 2163 2238
16 749 920 59 0.002525 738 2951
17 298 615 23 0.003425 1675 2991
18 694 552 86 0.001850 798 2511
19 387 190 47 0.004325 371 663
20 2801 695 86 0.004100 2327 3605
21 3133 1143 56 0.004100 96 1419
22 1517 266 83 0.001175 1185 2798
23 1538 224 62 0.000950 1593 3187
24 844 520 24 0.001400 376 2833
25 2639 1239 18 0.004550 554 1078
26 3123 217 20 0.000500 432 713
27 2489 1520 59 0.002525 90 1274
28 3834 1827 91 0.000725 1459 3163
29 3417 1808 15 0.001625 1339 2831
30 2938 543 71 0.000725 669 2359
31 71 1323 54 0.003650 1043 3791
32 3245 1828 43 0.003425 1426 1826
33 731 1741 52 0.003200 1986 4471
34 2312 1270 82 0.000950 944 2409
35 2426 1851 57 0.004325 1360 2085
36 380 478 58 0.004550 2314 3460
37 2310 635 75 0.001625 587 1017
38 2830 775 15 0.001625 878 2807
39 3829 513 32 0.000950 1484 1951
40 3684 445 89 0.002525 1712 4027
41 171 514 65 0.001625 33 682
42 627 1261 98 0.002300 1519 4279
43 1490 1123 13 0.003425 1945 2048
44 61 81 62 0.000950 2420 2643
45 422 542 74 0.001400 1208 2098
46 2698 1221 59 0.004775 2050 2320
47 2372 127 79 0.004775 1467 2197
48 177 1390 47 0.002075 2328 4655
49 3084 748 62 0.003200 2019 3204
50 1213 910 63 0.001175 2347 2799
51 3 1817 30 0.000500 344 1749
52 1782 995 87 0.004325 1558 1830
53 3896 742 58 0.004550 2237 4211
54 1829 812 41 0.000725 1084 2393
55 1286 550 46 0.004100 17 69
56 3017 108 75 0.001625 1091 1364
57 2132 1432 64 0.001400 2262 3314
