TYPE: TOPSTPTW
NODES: 15
TOURS: 1
T_MAX: 5000
ID X Y PROFIT BETA windowStart windowEnd
1 3140 1401 0 0 0 5000
2 556 1056 92 0.003200 2441 4223
3 3675 1522 77 0.004325 885 4042
4 1182 1853 75 0.003875 560 1926
5 3595 111 26 0.001850 2307 2520
6 962 1895 77 0.004325 2365 2760
7 2030 1186 76 0.004100 2148 3970
8 3507 1851 58 0.004550 835 2949
9 2642 1269 51 0.002975 2399 2927
10 3438 901 29 0.004775 555 2960
11 3858 1472 30 0.002750 1896 3369
12 2937 1568 15 0.001625 561 788
13 376 1018 54 0.003650 2094 4105
14 839 1355 44 0.003650 87 3150
15 706 1925 31 0.002975 870 3448
