TYPE: TOPSTPTW
NODES: 15
TOURS: 3
T_MAX: 9000
ID X Y PROFIT BETA windowStart windowEnd
1 1380 939 0 0 0 9000
2 2848 96 74 0.001400 2850 6564
3 3510 1671 61 0.000725 727 1899
4 457 334 81 0.002975 1905 3854
5 3888 666 64 0.003650 571 6079
6 984 965 69 0.002525 523 702
7 2721 1482 73 0.001175 2663 6365
8 1286 525 21 0.002975 2430 5029
9 2716 1432 18 0.002300 1972 2391
10 738 1325 93 0.001175 2056 3347
11 1251 1832 33 0.001175 277 2067
12 2728 1698 26 0.001850 4002 7629
13 3815 169 34 0.001400 4214 5767
14 3683 1533 96 0.004100 2353 3332
15 1247 1945 52 0.003200 332 4127
