TYPE: TOPSTPTW
NODES: 15
TOURS: 3
T_MAX: 9000
ID X Y PROFIT BETA windowStart windowEnd
1 3140 1401 0 0 0 9000
2 556 1056 92 0.003200 2850 6564
3 3675 1522 77 0.004325 727 1899
4 1182 1853 75 0.003875 1905 3854
5 3595 111 26 0.001850 571 6079
6 962 1895 77 0.004325 523 702
7 2030 1186 76 0.004100 2663 6365
8 3507 1851 58 0.004550 2430 5029
9 2642 1269 51 0.002975 1972 2391
10 3438 901 29 0.004775 2056 3347
11 3858 1472 30 0.002750 277 2067
12 2937 1568 15 0.001625 4002 7629
13 376 1018 54 0.003650 4214 5767
14 839 1355 44 0.003650 2353 3332
15 706 1925 31 0.002975 332 4127
