TYPE: TOPSTPTW
NODES: 15
TOURS: 1
T_MAX: 7500
ID X Y PROFIT BETA windowStart windowEnd
1 3140 1401 0 0 0 7500
2 556 1056 92 0.003200 200 2328
3 3675 1522 77 0.004325 1073 3231
4 1182 1853 75 0.003875 1977 4392
5 3595 111 26 0.001850 1396 2113
6 962 1895 77 0.004325 2697 3273
7 2030 1186 76 0.004100 3642 6619
8 3507 1851 58 0.004550 2301 3116
9 2642 1269 51 0.002975 1233 2395
10 3438 901 29 0.004775 2713 5118
11 3858 1472 30 0.002750 3570 3753
12 2937 1568 15 0.001625 3086 4266
13 376 1018 54 0.003650 2260 6025
14 839 1355 44 0.003650 2179 2953
15 706 1925 31 0.002975 1383 3738
