TYPE: TOPSTPTW
NODES: 15
TOURS: 1
T_MAX: 10000
ID X Y PROFIT BETA windowStart windowEnd
1 1380 939 0 0 0 10000
2 2848 96 74 0.001400 3258 6789
3 3510 1671 61 0.000725 2064 4430
4 457 334 81 0.002975 2552 8179
5 3888 666 64 0.003650 1385 1556
6 984 965 69 0.002525 717 816
7 2721 1482 73 0.001175 1263 2967
8 1286 525 21 0.002975 3157 8203
9 2716 1432 18 0.002300 2987 8050
10 738 1325 93 0.001175 1062 4228
11 1251 1832 33 0.001175 2920 4193
12 2728 1698 26 0.001850 3439 8399
13 3815 169 34 0.001400 4283 6425
14 3683 1533 96 0.004100 4267 6024
15 1247 1945 52 0.003200 691 4809
