TYPE: TOPSTPTW
NODES: 15
TOURS: 2
T_MAX: 9000
ID X Y PROFIT BETA windowStart windowEnd
1 1380 939 0 0 0 9000
2 2848 96 74 0.001400 3609 5062
3 3510 1671 61 0.000725 3168 8376
4 457 334 81 0.002975 3675 5143
5 3888 666 64 0.003650 3037 6642
6 984 965 69 0.002525 705 3859
7 2721 1482 73 0.001175 4252 5081
8 1286 525 21 0.002975 3861 8288
9 2716 1432 18 0.002300 18 4304
10 738 1325 93 0.001175 4093 8561
11 1251 1832 33 0.001175 506 4629
12 2728 1698 26 0.001850 1502 6577
13 3815 169 34 0.001400 781 3886
14 3683 1533 96 0.004100 2193 3719
15 1247 1945 52 0.003200 1130 6960
