TYPE: TOPSTPTW
NODES: 15
TOURS: 2
T_MAX: 9000
ID X Y PROFIT BETA windowStart windowEnd
1 3140 1401 0 0 0 9000
2 556 1056 92 0.003200 3609 5062
3 3675 1522 77 0.004325 3168 8376
4 1182 1853 75 0.003875 3675 5143
5 3595 111 26 0.001850 3037 6642
6 962 1895 77 0.004325 705 3859
7 2030 1186 76 0.004100 4252 5081
8 3507 1851 58 0.004550 3861 8288
9 2642 1269 51 0.002975 18 4304
10 3438 901 29 0.004775 4093 8561
11 3858 1472 30 0.002750 506 4629
12 2937 1568 15 0.001625 1502 6577
13 376 1018 54 0.003650 781 3886
14 839 1355 44 0.003650 2193 3719
15 706 1925 31 0.002975 1130 6960
