TYPE: TOPSTPTW
NODES: 15
TOURS: 3
T_MAX: 7000
ID X Y PROFIT BETA windowStart windowEnd
1 1380 939 0 0 0 7000
2 2848 96 74 0.001400 2855 5227
3 3510 1671 61 0.000725 3251 5812
4 457 334 81 0.002975 2136 5171
5 3888 666 64 0.003650 532 925
6 984 965 69 0.002525 3085 4506
7 2721 1482 73 0.001175 1080 3707
8 1286 525 21 0.002975 1807 4067
9 2716 1432 18 0.002300 139 1488
10 738 1325 93 0.001175 355 1657
11 1251 1832 33 0.001175 3206 5544
12 2728 1698 26 0.001850 3180 3643
13 3815 169 34 0.001400 1629 5052
14 3683 1533 96 0.004100 574 2272
15 1247 1945 52 0.003200 716 5190
