TYPE: TOPSTPTW
NODES: 15
TOURS: 1
T_MAX: 12500
ID X Y PROFIT BETA windowStart windowEnd
1 3140 1401 0 0 0 12500
2 556 1056 92 0.003200 1258 1780
3 3675 1522 77 0.004325 5933 9762
4 1182 1853 75 0.003875 5056 11581
5 3595 111 26 0.001850 2454 7048
6 962 1895 77 0.004325 5746 6030
7 2030 1186 76 0.004100 1730 2996
8 3507 1851 58 0.004550 2304 6235
9 2642 1269 51 0.002975 1082 8047
10 3438 901 29 0.004775 4418 5772
11 3858 1472 30 0.002750 114 975
12 2937 1568 15 0.001625 5928 7312
13 376 1018 54 0.003650 3965 10128
14 839 1355 44 0.003650 3024 6637
15 706 1925 31 0.002975 2895 7208
