TYPE: TOPSTPTW
NODES: 15
TOURS: 2
T_MAX: 5000
ID X Y PROFIT BETA windowStart windowEnd
1 3140 1401 0 0 0 5000
2 556 1056 92 0.003200 542 2916
3 3675 1522 77 0.004325 1101 2537
4 1182 1853 75 0.003875 227 1876
5 3595 111 26 0.001850 773 2074
6 962 1895 77 0.004325 1678 4077
7 2030 1186 76 0.004100 47 944
8 3507 1851 58 0.004550 1014 2150
9 2642 1269 51 0.002975 2440 2522
10 3438 901 29 0.004775 600 3475
11 3858 1472 30 0.002750 2485 4531
12 2937 1568 15 0.001625 1432 3511
13 376 1018 54 0.003650 1672 3727
14 839 1355 44 0.003650 2030 3678
15 706 1925 31 0.002975 919 3122
